,topic_a,topic_b
0,Mathematical analysis,Vector calculus
1,Numerical analysis,Ordinary differential equation
2,Computability theory,K-theory
3,Wavelet,Complex analysis
4,Mathematical model,Mathematical logic
5,Partial differential equation,General relativity
6,Topological space,Calculus
7,Abstract algebra,Lie theory
8,General relativity,Differential topology
9,Linear programming,Trigonometry
10,Coding theory,Mathematical optimization
11,Ergodic theory,Mathematical model
12,Multivariable calculus,Set theory
13,Numerical linear algebra,Commutative algebra
14,Primality test,Mathematical model
15,Mathematical optimization,Fourier series
16,K-theory,Calculus
17,Orthogonal polynomials,Primality test
18,Statistics,Commutative algebra
19,Mathematical logic,Differentiable manifold
20,Lie theory,Discrete mathematics
21,Orthogonal polynomials,Number theory
22,Approximation theory,Functional analysis
23,Discrete mathematics,Statistics
24,Wavelet,Topology
25,Vector calculus,Algebraic topology
26,Analytical mechanics,Algebraic geometry
27,Combinatorics,Statistics
28,Computability theory,Set theory
29,Abstract algebra,Trigonometry
30,Differential equation,Stochastic process
31,Algebra,Vector calculus
32,Fourier series,Analytical mechanics
33,Differential geometry,Mathematical optimization
34,Abstract algebra,Differential equation
35,Special relativity,Fourier series
36,K-theory,Ordinary differential equation
37,Differential geometry,Discrete mathematics
38,K-theory,Commutative algebra
39,Differentiable manifold,Linear algebra
40,Discrete mathematics,Algebra
41,Number theory,Numerical linear algebra
42,Discrete mathematics,Fourier series
43,Complex analysis,Mathematical statistics
44,Coding theory,Special relativity
45,Calculus,Stochastic process
46,Stochastic process,Fourier analysis
47,Analytic number theory,Statistics
48,Approximation theory,Multiscale modeling
49,Von Neumann algebra,Analytic geometry
50,Factorization,Set theory
51,Mathematical model,Stochastic process
52,Algebra,Wavelet
53,Approximation theory,Fourier series
54,Topological space,Differential equation
55,Differential equation,Fourier analysis
56,Operations research,Lie theory
57,Fourier series,Numerical linear algebra
58,Differentiable manifold,Fourier analysis
59,Trigonometry,Stochastic process
60,Linear algebra,Real analysis
61,Mathematical analysis,Analytic geometry
62,Commutative algebra,Fourier series
63,Linear programming,C*-algebra
64,Probability theory,Numerical linear algebra
65,Mathematical logic,Special relativity
66,Special relativity,Numerical linear algebra
67,K-theory,Ergodic theory
68,Abstract algebra,Factorization
69,Algebraic geometry,C*-algebra
70,Lie theory,Mathematical logic
71,Vector calculus,Topological space
72,Complex analysis,Stochastic process
73,Mathematical model,Trigonometry
74,Calculus,Mathematical statistics
75,Differentiable manifold,Abstract algebra
76,Mathematical analysis,Analytic number theory
77,Real analysis,Multivariable calculus
78,Algebraic geometry,Algebraic number theory
79,Ergodic theory,Algebraic number theory
80,Coding theory,Vector calculus
81,Analytical mechanics,Mathematical statistics
82,Stochastic process,Lie theory
83,Numerical linear algebra,Mathematical logic
84,Dynamical system,C*-algebra
85,Numerical analysis,Number theory
86,Differential geometry,Fourier series
87,C*-algebra,Stochastic process
88,Algebra,Discrete mathematics
89,Discrete mathematics,Algebraic topology
90,Von Neumann algebra,Number theory
91,Differentiable manifold,Number theory
92,Partial differential equation,Topology
93,Fourier series,General relativity
94,Ordinary differential equation,Operations research
95,Lie theory,Mathematical analysis
96,Commutative algebra,Mathematical statistics
97,Matrix (mathematics),Numerical analysis
98,Algebraic number theory,Algebraic topology
99,Multivariable calculus,Abstract algebra
100,Functional analysis,K-theory
101,Primality test,Field (mathematics)
102,Dynamical system,Trigonometry
103,Numerical linear algebra,Mathematical analysis
104,C*-algebra,Field (mathematics)
105,Linear algebra,Mathematical logic
106,Algebraic number theory,Topology
107,Number theory,Operations research
108,Calculus,Discrete mathematics
109,Mathematical analysis,Stochastic process
110,K-theory,Factorization
111,Calculus,Algebraic number theory
112,K-theory,Real analysis
113,Multiscale modeling,Algebraic geometry
114,Numerical analysis,Special relativity
115,Trigonometry,Coding theory
116,Number theory,Field (mathematics)
117,Lie theory,Wavelet
118,Topological space,Mathematical logic
119,Matrix (mathematics),Algebraic geometry
120,Factorization,Complex analysis
121,Number theory,Probability theory
122,Metric (mathematics),General relativity
123,Topology,Commutative algebra
124,Trigonometry,Finite element method
125,Primality test,Fourier analysis
126,Vector calculus,Operations research
127,Metric (mathematics),Statistics
128,Algebraic topology,Statistics
129,Numerical linear algebra,Complex analysis
130,Special relativity,K-theory
131,Commutative algebra,Differentiable manifold
132,Numerical analysis,Algebraic geometry
133,Multiscale modeling,Matrix (mathematics)
134,Wavelet,Analytic number theory
135,Differential topology,Mathematical analysis
136,Algebraic number theory,Discrete mathematics
137,Primality test,Von Neumann algebra
138,Numerical analysis,Differential topology
139,Matrix (mathematics),Statistics
140,Differential geometry,Combinatorics
141,Topological space,Primality test
142,Stochastic process,Real analysis
143,Differential equation,Finite element method
144,Combinatorics,Topology
145,Analytic number theory,Stochastic process
146,Primality test,Group theory
147,Linear programming,Von Neumann algebra
148,Field (mathematics),Graph theory
149,Algebra,Numerical analysis
150,Algebra,Statistics
151,Mathematical logic,Functional analysis
152,Analytic geometry,Factorization
153,Number theory,Von Neumann algebra
154,Analytic number theory,Mathematical analysis
155,Finite element method,Analytical mechanics
156,Partial differential equation,Abstract algebra
157,K-theory,Lie theory
158,Algebraic topology,Mathematical model
159,Orthogonal polynomials,Lie theory
160,Calculus,General relativity
161,Numerical analysis,Graph theory
162,Orthogonal polynomials,Special relativity
163,Graph theory,Algebraic topology
164,Calculus,C*-algebra
165,Mathematical statistics,Wavelet
166,Algebra,Coding theory
167,Von Neumann algebra,Calculus
168,Operations research,Von Neumann algebra
169,Analytic number theory,Matrix (mathematics)
170,Primality test,Matrix (mathematics)
171,Mathematical analysis,Finite element method
172,Finite element method,Fourier series
173,Calculus,Mathematical model
174,Primality test,K-theory
175,Fourier series,Functional analysis
176,Topology,Metric (mathematics)
177,Lie theory,Mathematical optimization
178,Approximation theory,Group theory
179,Algebraic topology,Operations research
180,Number theory,Statistics
181,Approximation theory,Ordinary differential equation
182,Algebraic topology,Metric (mathematics)
183,Analytical mechanics,K-theory
184,Mathematical model,Topology
