,topic_a,topic_b
0,Distributed object,Computer graphics
1,Theory of computation,Object-oriented programming
2,Software project management,Translator (computing)
3,Translator (computing),Data warehouse
4,Distributed computing,Compiler
5,Translator (computing),Parallel computing
6,Broadband networks,Test automation
7,Machine learning,Software analytics
8,Software engineering,Natural language processing
9,Computer security,Translator (computing)
10,Distributed object,Algorithm
11,Algorithm,Knowledge management
12,Software project management,Data-intensive computing
13,Algorithm,Computer architecture
14,Algorithm,Robotics
15,Computer-aided software engineering,Computer network
16,Computational geometry,Information security
17,Discrete mathematics,Computer network
18,Algorithm,Computer graphics
19,Distributed object,Knowledge management
20,Object-oriented analysis and design,Operating system
21,Computer network,Data integration
22,Software testing,Computer network
23,Algorithm,Object-oriented analysis and design
24,Internet protocol suite,Network service
25,Compiler,Machine learning
26,Object-oriented analysis and design,Computer graphics
27,Parallel computing,Data integration
28,Knowledge management,Software development
29,Assembly language,Object-oriented analysis and design
30,Microarchitecture,Wireless network
31,Software metric,Discrete mathematics
32,Cryptography,Computational linguistics
33,Artificial intelligence,Distributed object
34,Data-intensive computing,Software metric
35,Modeling language,Data warehouse
36,Graphical model,Database
37,Cryptography,Information retrieval
38,Test automation,Data-intensive computing
39,Data integration,Software quality management
40,Discrete mathematics,Translator (computing)
41,Software engineering,Microarchitecture
42,Systems programming,Parallel processing (DSP implementation)
43,Computer security,Network security
44,Algorithm,Compiler
45,Theory of computation,Software analytics
46,Computer security,Theory of computation
47,Software quality management,Computer graphics
48,Software development,Software quality management
49,Machine learning,Software quality management
50,Translator (computing),Mobile app development
51,Computational geometry,Computer architecture
52,Software project management,Modeling language
53,Knowledge management,Software engineering
54,Wireless network,Operating system
55,Computational geometry,Computational linguistics
56,Microarchitecture,Object-oriented programming
57,Computer security,Object-oriented programming
58,Translator (computing),Theory of computation
59,Distributed object,Software engineering
60,Analysis of algorithms,Software quality management
61,Database,Computer vision
62,Software project management,Cloud computing
63,Computer vision,Internet protocol suite
64,Distributed object,Software quality management
65,Algorithm,Information management
66,Combinatorial optimization,Object-oriented analysis and design
67,Modeling language,Information management
68,Wireless network,Computational linguistics
69,Computer-aided software engineering,Graphical model
70,Microarchitecture,Computer security
71,Assembly language,Information management
72,Mobile app development,Combinatorial optimization
73,Cloud computing,Natural language processing
74,Parallel computing,Computer security
75,Cloud computing,Software analytics
76,Discrete mathematics,Software metric
77,Software analytics,Data-intensive computing
78,Software quality management,Social network analysis
79,Parallel processing (DSP implementation),Computer security
80,Computer-aided software engineering,Software analytics
81,Wireless network,Computer-aided software engineering
83,Information management,Software project management
84,Software metric,Data integration
